=== ROOT CATEGORIES (parent=0) ===

[OLD] [760] Микросхемы чипы (slug: микросхемы-чипы, actual: 0, stored: 0)
  [OLD] [6517] Atmel (slug: atmel, actual: 0, stored: 0)
  [OLD] [6519] BETAFPV (slug: betafpv-микросхемы-чипы, actual: 0, stored: 0)
  [OLD] [6520] Castle Creations (slug: castle-creations, actual: 0, stored: 0)
  [OLD] [6522] CUAV (slug: cuav-микросхемы-чипы, actual: 0, stored: 0)
  [OLD] [6523] Diatone (slug: diatone-микросхемы-чипы, actual: 0, stored: 0)
  [OLD] [6524] Dimiks (slug: dimiks, actual: 0, stored: 0)
  [OLD] [6526] Drotek (slug: drotek, actual: 0, stored: 0)
  [OLD] [6528] ELBEAR (slug: elbear, actual: 0, stored: 0)
  [OLD] [6530] Feichao (slug: feichao-микросхемы-чипы, actual: 0, stored: 0)
  [OLD] [6531] Flywoo (slug: flywoo-микросхемы-чипы, actual: 0, stored: 0)
  [OLD] [6532] Foxeer (slug: foxeer-микросхемы-чипы, actual: 0, stored: 0)
  [OLD] [6533] FrSky (slug: frsky-микросхемы-чипы, actual: 0, stored: 0)
  [OLD] [6534] HGLRC (slug: hglrc-микросхемы-чипы, actual: 0, stored: 0)
  [OLD] [6535] Holybro (slug: holybro-микросхемы-чипы, actual: 0, stored: 0)
  [OLD] [6536] iCore (slug: icore, actual: 0, stored: 0)
  [OLD] [6538] IFlight (slug: iflight-микросхемы-чипы, actual: 0, stored: 0)
  [OLD] [6539] J-Link (slug: j-link, actual: 0, stored: 0)
  [OLD] [6541] JHEMCU (slug: jhemcu-микросхемы-чипы, actual: 0, stored: 0)
  [OLD] [6542] KROKS (slug: kroks-микросхемы-чипы, actual: 0, stored: 0)
  [OLD] [6543] LILYGO (slug: lilygo, actual: 0, stored: 0)
  [OLD] [6545] LORA (slug: lora, actual: 0, stored: 0)
  [OLD] [6547] Mateksys (slug: mateksys-микросхемы-чипы, actual: 0, stored: 0)
  [OLD] [6548] Matsutec (slug: matsutec, actual: 0, stored: 0)
  [OLD] [6549] Pixhawk (slug: pixhawk, actual: 0, stored: 0)
  [OLD] [6550] Quectel (slug: quectel, actual: 0, stored: 0)
  [OLD] [6552] ReadyToSky (slug: readytosky-микросхемы-чипы, actual: 0, stored: 0)
  [OLD] [6553] RunCam (slug: runcam-микросхемы-чипы, actual: 0, stored: 0)
  [OLD] [6554] RUSHFPV (slug: rushfpv-микросхемы-чипы, actual: 0, stored: 0)
  [OLD] [6555] Seneca (slug: seneca, actual: 0, stored: 0)
  [OLD] [6557] Sipeed (slug: sipeed, actual: 0, stored: 0)
  [OLD] [6559] SIYI (slug: siyi-микросхемы-чипы, actual: 0, stored: 0)
  [OLD] [6560] Team BlackSheep (slug: team-blacksheep-микросхемы-чипы, actual: 0, stored: 0)
  [OLD] [6561] TENSTAR (slug: tenstar, actual: 0, stored: 0)
  [OLD] [6563] Turnigy (slug: turnigy-микросхемы-чипы, actual: 0, stored: 0)
  [OLD] [6564] VEYE (slug: veye, actual: 0, stored: 0)
  [OLD] [6566] Waveshare (slug: waveshare, actual: 0, stored: 0)
  [OLD] [6568] Yahboom (slug: yahboom-микросхемы-чипы, actual: 0, stored: 0)
  [OLD] [6686] Dualsky (slug: dualsky-микросхемы-чипы, actual: 0, stored: 0)
  [OLD] [6772] Hobbywing (slug: hobbywing-микросхемы-чипы, actual: 0, stored: 0)
  [OLD] [6828] FATJAY (slug: fatjay-микросхемы-чипы, actual: 0, stored: 0)
  [OLD] [6958] Maytech (slug: maytech-микросхемы-чипы, actual: 0, stored: 0)
  [OLD] [7062] VIFLY (slug: vifly-микросхемы-чипы, actual: 0, stored: 0)
  [OLD] [7158] НПФ РЭТ (slug: нпф-рэт, actual: 0, stored: 0)
  [OLD] [7307] Arduino (slug: arduino-микросхемы-чипы, actual: 0, stored: 0)
  [OLD] [7308] EZUAV (slug: ezuav, actual: 0, stored: 0)
  [OLD] [7368] ICP-DAS (slug: icp-das, actual: 0, stored: 0)
  [OLD] [7371] Mornsun (slug: mornsun, actual: 0, stored: 0)
  [OLD] [8049] Omron (slug: omron, actual: 0, stored: 0)
  [OLD] [8050] HAMGEEK (slug: hamgeek, actual: 0, stored: 0)
  [OLD] [8279] TwinRX (slug: twinrx, actual: 0, stored: 0)
[OLD] [761] Радиостанции (slug: радиостанции, actual: 0, stored: 0)
  [OLD] [1382] Motorola (slug: motorola, actual: 0, stored: 0)
  [OLD] [1383] Hytera (slug: hytera, actual: 0, stored: 0)
  [OLD] [1384] Baofeng (slug: baofeng, actual: 0, stored: 0)
  [OLD] [1415] Lira (slug: lira-радиостанции, actual: 0, stored: 0)
  [OLD] [4796] Leixen (slug: leixen, actual: 0, stored: 0)
  [OLD] [4800] Sennheiser (slug: sennheiser, actual: 0, stored: 0)
  [OLD] [4804] TYT (slug: tyt, actual: 0, stored: 0)
  [OLD] [5377] Anytone (slug: anytone, actual: 0, stored: 0)
  [OLD] [5379] KIRISUN (slug: kirisun, actual: 0, stored: 0)
